country,total,trade_type
Afghanistan,1,Export
Albania,1,Export
Algeria,4,Export
Angola,5,Export
Anguilla,0,Export
Antarctica,7,Export
Antigua and Barbuda,1,Export
Argentina,215,Export
Armenia,1,Export
Austria,38,Export
Azerbaijan,2,Export
Bahamas,5,Export
Bahrain,834,Export
Bangladesh,941,Export
Barbados,4,Export
Belarus,8,Export
Belgium,1020,Export
Belize,0,Export
Bermuda,3,Export
Bhutan,1,Export
Bolivia,1,Export
Bosnia and Herzegovina,0,Export
Botswana,26,Export
Brazil,819,Export
Brunei Darussalam,51,Export
Bulgaria,36,Export
Burkina Faso,10,Export
Burundi,0,Export
Cambodia,109,Export
Cameroon,1,Export
Canada,2092,Export
Cayman Islands,1,Export
Chile,348,Export
China,150378,Export
Christmas Island,27,Export
Cocos (Keeling) Islands,7,Export
Colombia,31,Export
Dem. Rep. Congo,3,Export
Congo,18,Export
Cook Islands,10,Export
Costa Rica,4,Export
Cote d'Ivoire,81,Export
Croatia,4,Export
Cuba,1,Export
Cyprus,6,Export
Czechia,117,Export
Greenland,122,Export
Faroe Islands,122,Export
Denmark,122,Export
Djibouti,2,Export
Dominican Republic,15,Export
Ecuador,12,Export
Egypt,514,Export
El Salvador,7,Export
Equatorial Guinea,1,Export
Eritrea,3,Export
Estonia,23,Export
Ethiopia,6,Export
Fiji,407,Export
Finland,66,Export
Andorra,1347,Export
Monaco,1347,Export
France,1347,Export
French Antilles,1,Export
French Polynesia,59,Export
Gabon,27,Export
Georgia,44,Export
Germany,3557,Export
Ghana,93,Export
Greece,45,Export
Guam,12,Export
Guatemala,3,Export
Guinea,6,Export
Guyana,6,Export
Haiti,0,Export
Honduras,2,Export
Hong Kong,6903,Export
Hungary,56,Export
Iceland,93,Export
India,10765,Export
Indonesia,5770,Export
Iran,17,Export
Iraq,24,Export
Ireland,104,Export
Israel,242,Export
San Marino,578,Export
Italy,578,Export
Jamaica,31,Export
Japan,52784,Export
Jordan,164,Export
Kazakhstan,24,Export
Kenya,79,Export
Kiribati,19,Export
South Korea,25130,Export
Kuwait,415,Export
Kyrgyzstan,11,Export
Laos,28,Export
Latvia,18,Export
Lebanon,34,Export
Lesotho,0,Export
Liberia,1,Export
Libya,1,Export
Lithuania,9,Export
Luxembourg,15,Export
Macau,68,Export
Madagascar,19,Export
Malaysia,7986,Export
Maldives,48,Export
Mali,27,Export
Malta,5,Export
Marshall Islands,7,Export
Mauritania,9,Export
Mauritius,96,Export
Mexico,254,Export
Micronesia,6,Export
Moldova,0,Export
Mongolia,43,Export
Montenegro,0,Export
Morocco,28,Export
Mozambique,464,Export
Myanmar,168,Export
Namibia,10,Export
Nauru,47,Export
Nepal,38,Export
Netherlands,3029,Export
New Caledonia,461,Export
New Zealand,9957,Export
Nicaragua,0,Export
Niger,0,Export
Nigeria,64,Export
Niue,1,Export
Norfolk Island,15,Export
North Macedonia,2,Export
Northern Mariana Islands,2,Export
Norway,104,Export
Oman,423,Export
Pakistan,422,Export
Palau,2,Export
Panama,74,Export
Papua New Guinea,2324,Export
Paraguay,2,Export
Peru,102,Export
Philippines,2125,Export
Poland,439,Export
Portugal,20,Export
Puerto Rico,2,Export
Qatar,711,Export
Romania,31,Export
Russia,723,Export
Rwanda,1,Export
